epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
15,0.4981450140476227,0.8161436319351196,9.999999974752427e-07,1.560011625289917,0.5687224864959717,0.4354131519794464,0.8408488035202026,0.9759647250175476,0.45186132192611694,0.8700565099716187,0.8169761300086975
16,0.5075885057449341,0.828522264957428,9.999999974752427e-07,1.479986548423767,0.5796206593513489,0.44317030906677246,0.8435013294219971,0.9734994173049927,0.48311278223991394,0.8567492961883545,0.8249337077140808
17,0.5325464010238647,0.8377507925033569,9.999999974752427e-07,1.4340230226516724,0.6041574478149414,0.46070826053619385,0.8302386999130249,0.973932147026062,0.49215438961982727,0.8421052694320679,0.8063660264015198
18,0.5345699787139893,0.8430612087249756,9.999999974752427e-07,1.395695686340332,0.6066288948059082,0.469139963388443,0.8275862336158752,0.9729816317558289,0.4905283749103546,0.835654616355896,0.7957559823989868
19,0.53794264793396,0.8475857377052307,9.999999974752427e-07,1.373394250869751,0.60250324010849,0.47082629799842834,0.8275862336158752,0.9728105068206787,0.49137231707572937,0.8351955413818359,0.7931034564971924
20,0.5460370779037476,0.8504881858825684,2.0000000233721948e-07,1.3540476560592651,0.6223958134651184,0.48364248871803284,0.8222811818122864,0.9724230170249939,0.4970567524433136,0.8310249447822571,0.7957559823989868
21,0.5436761975288391,0.8491243124008179,2.0000000233721948e-07,1.3627030849456787,0.6175315976142883,0.47757166624069214,0.8222811818122864,0.9723688960075378,0.5064786672592163,0.8384401202201843,0.7984085083007812
22,0.5463743805885315,0.8483814597129822,2.0000000233721948e-07,1.3723902702331543,0.6132238507270813,0.4785834848880768,0.8222811818122864,0.9698449969291687,0.5232073068618774,0.835654616355896,0.7957559823989868
23,0.5527824759483337,0.8542537093162537,2.0000000233721948e-07,1.3483771085739136,0.6295180916786194,0.4934232831001282,0.8169761300086975,0.9698788523674011,0.5337451100349426,0.8361582159996033,0.7851458787918091
24,0.5507588386535645,0.8529704213142395,2.0000000233721948e-07,1.3363070487976074,0.6246180534362793,0.4826306998729706,0.8063660264015198,0.9679017066955566,0.5516436696052551,0.8413597941398621,0.7877984046936035
