,precision,recall,f1-score,support
cardboard,0.9807692307692307,0.8360655737704918,0.9026548672566371,61.0
glass,0.8285714285714286,0.7631578947368421,0.7945205479452054,76.0
metal,0.8301886792452831,0.7096774193548387,0.7652173913043478,62.0
paper,0.8404255319148937,0.8777777777777778,0.8586956521739131,90.0
plastic,0.7303370786516854,0.8904109589041096,0.8024691358024691,73.0
trash,0.6923076923076923,0.8181818181818182,0.75,22.0
accuracy,0.8203125,0.8203125,0.8203125,0.8203125
macro avg,0.8170999402433691,0.8158785737876464,0.8122595990804288,384.0
weighted avg,0.829306571891255,0.8203125,0.8209683396265429,384.0
